0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
нищенствовать	христарадничать	побираться																																										
новизна	новинка																																											
новоизобретенный	-испеченный	-модный																																										
новость	новинка	новшество	нововведение	обновка																																								
новый	новоизобретенный	новоиспеченный	новомодный	новоявленный	свежий	новобранец	неофит	прозелит																																				
ноздреватый	ноздристый																																											
носить	перемещать	волочить	таскать																																									
ноша	бремя	беремя	оберемок	вязанка	охапка	груз	кладь	клажа	багаж	тяжесть																																		
нравиться	влюбиться	полюбиться	взглянуться	приглянуться																																								
нравственный	высоконравственный	благонравный	добронравный	целомудренный	честный	моральный																																						
нужда	надобность	обязанность	потребность	бедность	недостаток	неимение	отсутствие	нищета	крайность	скудость	убожество																																	
ныне	нынче	днесь																																										
нынешний	настоящий	существующий	теперешний	текущий																																								
о	касательно	насчет																																										
обвинение	нападки	нарекание	оговор	порицание	укор	упрек																																						
обвинять	винить	оговаривать	вменять																																									
обдумывать	обсуждать	взвешивать																																										
обеднеть	обнищать	оскудеть	опуститься	падать	спуститься	разориться																																						
обезвредить	обезоружить																																											
обескураживать	обезнадеживать	огорчать	омрачать	опечалить																																								
обеспечение	залог	гарантия	порука	ручательство																																								
обеспечивать	обезопасить	гарантировать	страховать																																									
обещание	зарок	обет	обязательство	посул																																								
обещать	обещаться	браться	обязаться	обнадеживать	сулить	закаиваться																																						
обжора	прожора	объедало																																										
обжорливый	прожорливый	ненасытный																																										
обида	огорчение	оскорбление	неприятность	поношение	попрание	поругание	унижение	колкость	укол	шпилька	уязвление	бесчестье	позор																															
обидный	оскорбительный	унизительный	горький	злой	колкий	резкий	едкий	ядовитый	язвительный																																			
обидчивость	себялюбие	спесь	амбиция	гонор																																								
обижать	оскорблять	задевать	колоть	обделить																																								
обилие	изобилие	богатство	множество	полнота	благодать																																							
обильный	изобилующий	богатый	полный																																									
облако	туча	туман																																										
область	край	округ	среда	царство																																								
облимонить	облисить																																											
обман	надувательство	мошенничество	подделка	подлог	лукавство	хитрость	мистификация	вымысел	ложь	притворство	иллюзия																																	
обманывать	дурачить	мошенничать	плутовать	обвешивать	обмеривать	обсчитывать	перехитрить	провести	мистифицировать	водить																																		
обмеривать	обмикулить	обмишулить																																										
обморок	беспамятство	бесчувствие	забытье	гипноз	транс																																							
обнаруживать	открывать	раскрывать	обнажать	оголять	показывать	выказывать	разоблачать	изобличать	обличать	уличать	снимать																																	
обнаруживаться	выказываться	показываться	открываться	раскрываться	обнажаться	проявляться	сказываться	оказываться	всплывать	явствовать																																		
обозначать	означать	ознаменовать	изображать	помечать	запечатлевать	клеймить	выражать	предвещать																																				
оболочка	наволочка	кожица	кора	плева	пелена	пленка	скорлупа	сорочка	конверт																																			
обработка	отделка																																											
образ	икона	лик																																										
образец	образчик	первообраз	прообраз	тип	прототип	идеал	модель	оригинал																																				
образование	воспитание	просвещение	культура	цивилизация	изготовление	созидание	фабрикация	формирование																																				
образованный	просвещенный	интеллигентный	культурный	цивилизованный	воспитанный	развитой																																						
образумливаться	образумиться	одуматься	передумать	раздумать	опомниться	остепениться	исправиться	раскаяться	прийти																																			
образцовый	примерный	идеальный	типический	безупречный	безошибочный	беспорочный	законченный	совершенный	всесовершенный	античный	классический																																	
обращать	вращать	оборачивать	поворачивать	направлять	устремлять																																							
обременять	давить	гнести	тяготить	отягощать	затруднять	удручать	взваливать	наваливать	навьючивать	нагружать	налагать	утруждать																																
обстановка	имущество	обзаведение	оборудование	снаряжение	убранство	утварь	движимость	рухлядь	скарб	хозяйство	мебель	сбруя	сервиз	снаряды	припасы	снасти	инвентарь	принадлежности	реквизиты	атрибуты	вооружение	арматура	аппарат																					
обтесаться	обиться	обтереться	отлощиться	отполироваться	отшлифоваться																																							
обширный	безграничный	беспредельный	безбрежный	необозримый	необъятный	просторный	широкий	вместительный	емкий																																			
общество	община	сообщество	артель	ассоциация	банда	беседа	братство	братия	ватага	группа	землячество	каста	клика	коалиция	конгломерат	корпорация	кружок	кучка	лагерь	лига	партия	плеяда	секта	совет	собрание	союз	сфера	товарищество	федерация	цех	шайка	команда	толк											
общий	всеобщий	всемирный	всесветный	всенародный	повальный	поголовный	универсальный	артельный	братский	союзный	безраздельный	совместный	совокупный	соединенный																														
объявление	анонс	аншлаг	афиша	публикация	воззвание	показание	декларация	заявление	манифест	прокламация																																		
объявлять	заявлять	поведывать	показывать	обнародовать	оглашать																																							
объяснение	изъяснение	пояснение	разъяснение	освещение	толкование	иллюстрация	комментарий	мотивировка																																				
объяснять	изъяснять	пояснять	разъяснять	вразумлять	излагать	описывать	передавать	осмысливать	разжевывать	толковать	истолковать	растолковать	освещать	оговорить	озарять																													
обыкновенно	обычным																																											
обыкновенный	обычный	всегдашний	вседневный	повседневный	дюжинный	заведенный	заурядный	избитый	обиходный	обыденный	постоянный	привычный	общепринятый	простой	рядовой	торный	употребительный	общеупотребительный	урочный	установленный	ходовой	ходячий	шаблонный	трафаретный																				
обычай	привычка	заведение	замашка	манера	мода	норов	нрав	обряд	обрядность	поведение	практика	рутина	устав	шаблон																														
обязанность	обязательство	долг	должность	повинность	призвание																																							
овладевать	завладеть	забрать	занять	захватить	пленить	присвоить	приобресть																																					
огород	бахча	баштан	капустник																																									
огулом	огульно																																											
одевать	облекать	обмундировать	обувать																																									
один	единственный	одинокий	единовластно	единодержавно	единолично	безраздельно	нераздельно	одиноко	соло	уединенно																																		
одинаковый	одинакий	единый	однородный	однозначащий																																								
одновременно	враз	зараз	разом																																									
однозвучный	-значный																																											
одноцветный	-шерстный																																											
одобрительный	благоприятный	благосклонный	желательный	лестный	похвальный																																							
одонье	одонья																																											
оживать	оживляться	возрождаться	возобновляться	воскресать	очнуться	приободриться																																						
оживлять	живить	возрождать	восстановлять	возобновлять	воскрешать	животворить	бодрить																																					
оковы	кандалы	путы	узы	цепи																																								
околесина	околесица																																											
около	подле																																											
окончательный	безапелляционный	безвозвратный	бесповоротный	решительный	догматический	категорический																																						
окружать	обводить	облегать	обрамлять	обставлять	обступать	огораживать	охватывать	описывать	очерчивать																																			
опаздывать	запоздать	отставать																																										
опасность	риск	кризис																																										
опасный	ненадежный	неблагонадежный	непрочный	рискованный	роковой	грозный	угрожающий	подозрительный	страшный	скользкий	щекотливый	коварный																																
опираться	упираться	облокачиваться	налегать	прислониться	основываться	ссылаться	излагать	изображать	рисовать	обрисовывать	живописать	представлять	определять	характеризовать																														
оправдывать	выгораживать	выкручивать	выправлять	выпутывать	обелять	спускать																																						
оправдываться	отговариваться	отделываться	отнекиваться																																									
определенный	назначенный	урочный																																										
определять	предопределять	назначать	предназначать	обрекать	посвящать	прочить	пожертвовать	отпускать	выставлять	выдавать	излагать	изображать	обрисовывать	описывать	отпечатлевать	отчеканивать	разбирать	квалифицировать	формулировать	характеризовать	разграничивать	постановлять	установлять																					
оптом	валом	гуртом	огулом	огульно	сподряд																																							
опухоль	волдырь	желвак	нарост	бородавка																																								
опыт	попытка	эксперимент																																										
опытность	навык	сноровка	знакомство	знание	умение																																							
опытный	многоопытный	бывалый	искусный	знающий	сведущий	практичный	привычный	искушенный	изловчившийся	изощрившийся	заматерелый	наторелый	продувной																															
опять	вторично	вновь																																										
оратор	вития	говорун	краснобай	краснослов	демосфен	цицерон																																						
ориентироваться	опознаться	опомниться	освоиться	оглядеться	осмотреться																																							
орудие	инструмент	аппарат	орган	снаряд	снасть	приспособление																																						
оружие	вооружение	доспехи	снаряжение																																									
осадок	отстой	гуща	подонки																																									
осанка	стан	выправка																																										
освещать	озарять	светить	издавать																																									
освобождаться	вывертываться	выкручиваться	выпутываться	вылавировать	избавляться	отвертеться	отвязаться	отделаться	спасаться	выскользнуть																																		
освобождение	избавление	отпущение	исход																																									
ослабевать	слабнуть	слабеть	измаяться	умаяться	изнемогать	надрываться	надсаживаться	обессилеть	устать	утомляться	дряхлеть	млеть	раскисать	вянуть	таять																													
ослаблять	изнурять	истомлять	утомлять	истощать	морить	обессиливать	притуплять	надрывать	надсаживать																																			
осматривать	рассматривать	обозревать	оглядывать	разглядывать																																								
осмеливаться	дерзать	отваживаться	пробовать	рисковать	решаться																																							
основание	база	базис	бык	столп	устой	фундамент	пьедестал																																					
основатель	учредитель	устроитель																																										
основательный	дельный	путный	капитальный																																									
основываться	опираться	ссылаться																																										
особенный	особый	необыкновенный	отличный	специфический	специальный	исключительный																																						
осрамиться	оплошать																																											
оставаться	сохраниться	уцелеть																																										
останавливаться	замяться																																											
остановка	приостановка	задержка	замедление	заминка	застой	затишье	пауза	передышка	перерыв	антракт	проволочка	отсрочка	запятая	стоянка	дневка	ночевка	этап	бивуак																										
остаток	последки	останки	развалины	реликвии	обрезки	объедки	огарок	окурок																																				
остерегаться	беречься	оберегаться																																										
осторожность	бережность	внимательность	недоверчивость	осмотрительность	предосторожность	предусмотрительность	благоразумие	рассудительность	такт	тактичность																																		
осторожный	бережный	благоразумный	недоверчивый	обдуманный	опасливый	внимательный	осмотрительный	предусмотрительный	подозрительный	рассудительный	расчетливый	сдержанный	скрытный	тактичный																														
острие	лезвие	жало																																										
острог	темница	тюрьма	холодная	арестантская	каземат																																							
остроумие	острота	бонмо	каламбур	юмор	соль																																							
остроумный	острослов	остряк	бонмотист	комик	сатирик																																							
отвергать	отбрасывать	отметать	отклонять																																									
отверстие	дыра																																											
ответ	возражение	отзыв	отклик	отповедь	опровержение	отрицание	отказ	противоречие	отзвук	отражение	эхо																																	
ответственность	ручательство	порука																																										
отвечать	ответствовать	возражать	огрызаться	отзываться	откликаться	опровергать	оспаривать	перечить	прекословить	протестовать	оппонировать	противоречить	вторить	сдавать																														
отвлеченный	абстрактный	академический	мысленный	умозрительный	умственный	теоретический	метафизический	трансцендентный																																				
отвращать	отбивать	отвлекать	отводить	отклонять	отпарировать	отражать	отстранять	устранять																																				
отвращение	брезгливость	гадливость	нелюбовь	ненависть	неприязнь	нерасположение	омерзение	антипатия																																				
отвыкать	отучаться	разлучиться	отстаивать	вылечиваться	переставать																																							
отговаривать	отклонять	отсоветовать	рассоветовать	разубеждать	разуверять	разочаровывать																																						
отговариваться	оправдываться	извиняться	отзываться	сказаться																																								
отговорка	предлог	виляние	выверт	изворот	увертка	лу-кавство	софизм																																					
отдельно	раздельно	неслиянно	одиноко	поодиночке	поверстно	повизитно	поурочно	поштучно	особо	особняком	врозь	розно	порознь	вразбивку	вразброд	вразброс	враздробь	врассыпную	спорадически																									
отдельный	единичный	одинокий	особый	особенный	индивидуальный	обособленный	разобщенный	розничный	раздробительный																																			
отделяться	отпадать	отложиться	откалываться	отмежевываться																																								
отдых	отдохновение	отдышка	передышка	роздых	покой	спокойствие	успокоение	угомон																																				
отдыхать	покоиться	успокаиваться	почивать																																									
отзываться	оценивать	судить	аттестовать	хулить																																								
отказ	отрицание																																											
отказывать	отвергать	отклонять																																										
отказываться	отпираться	отрекаться	отрицать	отрицаться	отступаться	отшатнуться	жертвовать																																					
откладывать	отделять	отступать	оттягивать																																									
откровенный	открытый	искренний	прямой	прямодушный	прямолинейный	наивный																																						
открывать	вскрывать	раскрывать	отверзать	разверзать	отворять	приотворять	отмыкать	отпирать	распахнуть	откупоривать	распечатывать																																	
открываться	раскрываться	разверзаться	растворяться																																									
открытие	изобретение	находка																																										
открытый	отверстый	зияющий	обнаженный	гласный	публичный	всенародный	официальный	явный																																				
отличать	награждать	предпочитать																																										
выдаваться	выделяться																																											
отличие	награда	предпочтение																																										
отличный	блестящий	блистательный	божественный	великолепный	волшебный	восхитительный	дивный	обворожительный	обольстительный	образцовый	отменный	очаровательный	пленительный	превосходный	прекрасный	прелестный	удивительный	чудный																										
отражение	отблеск	отсвет	изображение																																									
отрицание	отречение	запирательство	отпирательство	отказ	отнекивание																																							
отрицать	прот																																											
отроду	отродясь																																											
отступать	отходить	ретироваться	пятиться																																									
отсутствие	неимение	недостаток	лишение																																									
отсутствовать	недоставать																																											
отучать	отваживать																																											
отчаиваться	унывать																																											
отчаяние	уныние	безнадежность																																										
отчаянно	напропалую																																											
официальный	официозный	гласный	должностной	парадный	служебный	формальный	церемониальный	праздничный	торжественный																																			
охота	ловля	лов	ловитва	облава	травля																																							
охотно	волею	добровольно	добром																																									
охранять	беречь	оберегать	блюсти	караулить	стеречь	остерегать	сторожить																																					
оценивать	расценивать	таксировать	ставить																																									
очень	безгранично	бесконечно	невыносимо	необыкновенно	непомерно	разительно	страшно	адски	донельзя	дюже	вконец	колоссально	неимоверно	непроходимо	несказанно	чрезвычайно	больно	вовсю	зело																									
очерк	набросок	абрис	эскиз	этюд	контур																																							
очнуться	очувствоваться	опомниться	воскреснуть																																									
ошибка	грех	погрешность	заблуждение	неловкость	оплошность	опечатка	описка	отступление	промах	уклонение	упущение	неправильность	шероховатость	провес	промер	просмотр	просчет																											
палач	кат	мучитель	каратель																																									
палец	перст																																											
палка	булава	дручок	дручина																																									
памятовать	памятозлобствовать																																											
пандан	pendant																																											
пара	двое																																											
паразит	дармоед	тунеядец	блюдолиз	лизоблюд	приживальщик	приживалка																																						
паразитный	чужеядный																																											
пардон	pardon																																											
парк	сад	роща	сквер																																									
парламент	палата	рейхстаг	рейхсрат	риксдаг	сейм	рада	собор																																					
пароль	лозунг	отзыв																																										
пахнуть	попахивать	издавать																																										
пение	трель	колоратура	рулада	концерт	колено	коленце																																						
пенсион	пенсия																																											
первенство	верховенство	главенство	господство	начальствование	предводительство	преобладание	старшинство	гегемония	команда	превосходство	преимущество																																	
первенствовать	главенствовать	господствовать	доминировать																																									
первый	зачинщик	запевало	застрельщик	затейщик	передовой	инициатор	пионер																																					
переводчик	толмач	драгоман																																										
переговариваться	переговорить																																											
перегородка	городьба	загородка	барьер	переборка	сре-достение																																							
перед	пред	предварительно																																										
передавать	отдавать	вручать	предоставлять	препоручать	уступать																																							
передний	предшествующий	передовой	авангард																																									
перемена	изменение	видоизменение	смена	чередование	переворот	ломка	перелом	перерождение	превращение	преобразование	модификация	реорганизация	реформа	нововведение																														
переменять	подменять	изменять	видоизменять	модифицировать	переделывать	переиначивать	перерабатывать	переустраивать	превращать	преображать	преобразовывать	претворять	разнообразить	реорганизовывать	реформировать																													
перемешивать	размешивать	смешивать	перепутывать	спутывать	переставлять	тасовать	перетасовать	взбалтывать																																				
пересекать	рассекать	перерубать	перерезать																																									
переставать	останавливаться	униматься	бросать	оставлять	прекращать	ликвидировать	забастовать																																					
перечеркивать	перечернить																																											
перстень	кольцо																																											
песнь	песня	песнопение	гимн	псалом	ода	рапсодия	романс	кантата	ноктюрн	серенада	ария	оперетта																																
пестрый	крапчатый	разноцветный	узорный																																									
петь	напевать	заливаться	затягивать																																									
печалить	опечалить	огорчать	озабочивать	омрачать	крушить	сокрушать	туманить																																					
печалиться	горевать	грустить	кручиниться	плакать	скорбеть	сокрушаться	тосковать	тужить	убиваться	унывать	омрачаться	пригорюниваться																																
печаль	горе	горесть	грусть	кручина	отчаяние	скорбь	прискорбие	скука	томление	тоска	траур	уныние	горечь																															
печальный	безотрадный	безрассветный	горестный	горький	грустный	жалкий	жалобный	жалостный	мрачный	плачевный	скорбный	огорченный	опечаленный	пасмурный	понурый	сумрачный	сокрушенный	тоскливый	траурный	угрюмый	унылый	приунылый	задумчивый																					
пещера	грот	вертеп																																										
пир	пиршество	пирушка	вечеринка	выпивка	гулянка																																							
пировать	пиршествовать	бражничать	веселиться	гулять	кутить	пьянствовать																																						
писатель	беллетрист	газетчик	драматург	журналист	историк	компилятор	критик	литератор	летописец	памфлетист	поэт	публицист	рецензент	романист	сочинитель	фельетонист	хроникер	писака	щелкопер																									
писать	записывать	строчить	выводить	черкать	чертить	вносить	заносить																																					
письмо	записка	послание	уведомление	цедулка																																								
питание	кормление	прокормление	довольствие	продовольствие	кошт	харчи	иждивение																																					
питать	кормить	насыщать	довольствоваться	продовольствовать																																								
питаться	кормиться	насыщаться	довольствоваться	пробавляться	перебиваться;																																							
пить	глотать	хлебать	тянуть	сосать																																								
пища	кушанье	снедь	еда	брашно	яства																																							
плакать	вопить	выть	голосить	реветь	рыдать	рюмить	скулить	хлипать	всхлипывать	хныкать																																		
плакса	плаксивый																																											
пламень	пламя																																											
план	расписание	распределение	роспись	смета	проект	схема	тактика	маршрут	церемониал	чин																																		
плата	вознаграждение	гонорар	жалованье	оклад	платеж																																							
платить	выплачивать	уплачивать	вносить	воздавать	отдавать	раскошеливаться																																						
платок	плат	скатерть	покров	покрывало	попона	шаль																																						
платье	костюм	наряд	облачение																																									
плач	вой	вопль	нытье	рыдание																																								
племя	колено	поколение	род	порода	потомство	раса																																						
плешак	плешивый																																											
плешина	плешь																																											
плод	зерно	фрукт	овощ	отродье	порождение	чадо	исчадие	птенец																																				
плодородный	плодовитый	ноский																																										
плотина	дамба	запруда	насыпь	преграда	гать																																							
плохой	дрянной	дурной	ледащий	неважный	негодный	незавидный	неприглядный	скверный	дешевый	грошовый																																		
плут	бездельник	жила	жулик	кулак	мазурик	мошенник	обманщик	пройдоха	шарлатан	шельма	штукарь	выжига	<артист>																															
победа	перевес	успех	торжество	триумф	лавры																																							
побеждать	одолевать	осиливать	поборать	превозмогать	превосходить																																							
побочный	сторонний	посторонний	вспомогательный	второстепенный																																								
побуждение	возбуждение	внушение	толчок	повод	мотив																																							
повиновение	подчинение	подчиненность	послушание	покорность	исполнительность	преданность	дисциплина	субординация																																				
повитуха	повивальщица	бабушка	приемница	акушерка																																								
повторение	возобновление	воссоздание	воспроизведение	отпечаток	сколок	слепок	снимок	копия	заимствование	подражание	плагиат	контрафакция	пародия	отблеск	отголосок	отзвук	эхо																											
повторять	повторяться	вторить	воссоздавать	воспроизводить	копировать																																							
поговорка	пословица	побасенка	прибаутка	присловье	присказка	причет																																						
погружать	окунать	макать	обмакивать	опускать																																								
погружаться	окунаться	опускаться	нырнуть	тонуть	утопать	вязнуть	увязнуть	погрязнуть																																				
податливый	покладистый	покладливый	гибкий	сговорчивый	уживчивый	уступчивый																																						
подачка	подаяние																																											
подведомый	подведомственный																																											
подвижник	анахорет	аскет	еремит	затворник	монах	отшельник	постник	пустынник	пустынножитель	скитник																																		
подкупать	задабривать	задаривать	подмазывать	умазывать																																								
подкупной	продажный	взяточник	лихоимец	мздоимец	алтынник																																							
подлый	бесчестный	гнусный	грязный	недобросовестный	низменный	позорный	лакейский	рабский	холопский																																			
поднимать	подымать																																											
подниматься	подниматься	всходить	восходить																																									
подобный	похожий	схожий	сходный	сходственный	близкий	подходящий	равный	точный																																				
подозревать	заподозрить	сомневаться	усо																																									
подозрение	недоверие	сомнение																																										
подписываться	расписываться	рукоприкладствовать	подмахнуться																																									
подражание	воспроизведение	копия	пародия	плагиат																																								
подражать	передразнивать	перекривлять	пародировать																																									
подробность	мелочь	деталь																																										
подробный	обстоятельный	обширный	пространный	полный	доскональный	основательный	исчерпывающий																																					
подручник	подручный																																											
подстерегать	подкарауливать	поджидать	подмечать	подсиживать	подслушивать	подсматривать																																						
подступать	подступиться																																											
подтверждать	подкреплять	заверять	уверять	удостоверять	свидетельствовать																																							
